X Y Z R G B
8.901812543249407739e-01 -4.650148711286691272e-01 -3.773924290130498793e+00 3.500000000000000000e+01 2.300000000000000000e+01 2.800000000000000000e+01
6.309322077678350960e-01 -3.768671423668018550e-01 -5.859337712371651463e+00 8.900000000000000000e+01 7.900000000000000000e+01 5.600000000000000000e+01
9.345516471668818825e-01 -3.917135073113309773e-01 -4.740239166510985314e+00 1.050000000000000000e+02 8.800000000000000000e+01 6.700000000000000000e+01
7.149082477343703390e-01 -8.286332515871793758e-01 -6.127855504736705150e+00 5.700000000000000000e+01 4.200000000000000000e+01 3.600000000000000000e+01
6.626801321137509859e-01 -9.375781780513318120e-01 -5.385521845428076659e+00 3.800000000000000000e+01 3.800000000000000000e+01 3.000000000000000000e+01
6.768618744677400434e-01 -9.437232566517094190e-01 -5.448079567378946386e+00 2.800000000000000000e+01 2.600000000000000000e+01 1.500000000000000000e+01
8.150421002220575861e-02 -1.215584559525174413e+00 -2.569152418599927934e+00 1.500000000000000000e+02 1.780000000000000000e+02 1.170000000000000000e+02
4.359663126671978750e-01 6.752692569050403049e-02 -4.128302014976047651e+00 2.300000000000000000e+01 2.200000000000000000e+01 2.300000000000000000e+01
3.551318983344179531e-02 -2.921037996356298794e-01 -8.140085123842972337e+00 1.070000000000000000e+02 9.400000000000000000e+01 8.000000000000000000e+01
3.462337125891490897e-01 -1.028369038700428284e+00 -7.054756460294829168e+00 8.400000000000000000e+01 6.400000000000000000e+01 6.200000000000000000e+01
-1.120404766731160351e-01 -8.797775627857757907e-01 -2.207872948928363499e+00 1.110000000000000000e+02 1.340000000000000000e+02 7.300000000000000000e+01
4.948865419926605780e-01 -1.104712265073525712e+00 -8.049120468514207261e+00 5.400000000000000000e+01 2.900000000000000000e+01 2.500000000000000000e+01
7.268814521147862751e-01 -1.305127979645002823e+00 -3.423089414324005819e+00 9.000000000000000000e+01 1.220000000000000000e+02 7.200000000000000000e+01
1.454243600371641632e-01 -5.185006394582224454e-01 -4.362306124541102115e+00 1.380000000000000000e+02 1.180000000000000000e+02 5.100000000000000000e+01
-6.302420413263197796e-01 -6.878841935835167121e-01 -1.693620683425641316e+00 5.300000000000000000e+01 7.100000000000000000e+01 3.700000000000000000e+01
-9.808367030798845199e-02 -3.575474406742897293e-01 -4.260707695389045924e+00 1.410000000000000000e+02 1.250000000000000000e+02 5.800000000000000000e+01
4.405879002438740644e-01 -4.192488137323878705e-01 -3.468753242709143425e+00 1.620000000000000000e+02 1.400000000000000000e+02 7.400000000000000000e+01
1.222857052039219433e-01 -9.629100391868378184e-01 -4.416850153441703064e+00 1.270000000000000000e+02 1.300000000000000000e+02 9.300000000000000000e+01
8.826404843666019184e-01 -3.050483404436380996e-01 -4.388775477751835297e+00 3.800000000000000000e+01 2.800000000000000000e+01 1.000000000000000000e+01
1.474386253644947020e-01 -9.566473731003859449e-01 -4.889709988825373443e+00 1.090000000000000000e+02 9.800000000000000000e+01 7.200000000000000000e+01
-6.462822127541550943e-02 -1.012740463679284941e+00 -2.210623402514758862e+00 1.240000000000000000e+02 1.540000000000000000e+02 8.400000000000000000e+01
-4.885983052516120750e-01 -3.973882359674113518e-01 -8.460958858298006646e+00 7.700000000000000000e+01 5.400000000000000000e+01 3.400000000000000000e+01
1.066264668401596533e-01 -4.915532704675372178e-01 -8.144215937116019433e+00 1.020000000000000000e+02 7.500000000000000000e+01 4.000000000000000000e+01
-1.517176894662350395e-01 -1.779084458385236656e-01 -7.224559223055227797e+00 3.900000000000000000e+01 2.600000000000000000e+01 1.600000000000000000e+01
7.015469910280268395e-02 -1.067156692914145832e+00 -2.692511689242585771e+00 1.390000000000000000e+02 1.680000000000000000e+02 1.090000000000000000e+02
5.584283588947994703e-01 -9.660695160322926300e-01 -7.012778665893037555e+00 6.300000000000000000e+01 4.500000000000000000e+01 5.300000000000000000e+01
7.512777596569625294e-01 -7.973710356604912786e-01 -5.804042136737055380e+00 5.000000000000000000e+01 4.100000000000000000e+01 2.800000000000000000e+01
2.479532232909067435e-01 -5.768534093198877111e-01 -5.209576577214932946e+00 1.580000000000000000e+02 1.340000000000000000e+02 7.700000000000000000e+01
2.804935698931028676e-01 -5.586277510326856932e-01 -6.133330868058521013e+00 1.260000000000000000e+02 9.500000000000000000e+01 5.000000000000000000e+01
2.888267353041007457e-01 -6.791113415708405210e-01 -4.393696166937151482e+00 1.620000000000000000e+02 1.400000000000000000e+02 5.500000000000000000e+01
7.719369187102204100e-01 -1.376875189096020913e+00 -3.405835119268017408e+00 1.060000000000000000e+02 1.380000000000000000e+02 8.000000000000000000e+01
1.280064556775517837e-01 -1.214592771934629223e+00 -3.023380145584969370e+00 1.490000000000000000e+02 1.800000000000000000e+02 1.160000000000000000e+02
1.214370489504263545e-01 -1.185395935840843684e+00 -3.943801164903433687e+00 1.490000000000000000e+02 1.700000000000000000e+02 1.180000000000000000e+02
1.465848496193555839e-01 -1.179138362442413879e+00 -4.416661000287104066e+00 1.320000000000000000e+02 1.460000000000000000e+02 1.020000000000000000e+02
3.873884213920412156e-01 -1.116342945979005741e+00 -7.528009933659006947e+00 7.000000000000000000e+01 4.500000000000000000e+01 4.400000000000000000e+01
4.539516764906076918e-01 -2.084567312331667477e+00 -3.063231179861377385e+00 1.150000000000000000e+02 1.400000000000000000e+02 9.100000000000000000e+01
2.652739913273977623e-01 -6.047363587075239577e-01 -4.167363200143807234e+00 1.480000000000000000e+02 1.340000000000000000e+02 7.600000000000000000e+01
3.399991098940624568e-02 -2.166063856518218422e+00 -2.738842686562274586e+00 5.800000000000000000e+01 8.700000000000000000e+01 5.600000000000000000e+01
1.290442650856465368e-01 -8.028821818165691182e-01 -2.373202348137157802e+00 9.500000000000000000e+01 8.800000000000000000e+01 3.800000000000000000e+01
1.781282623357417216e-01 -8.520172935722361007e-01 -3.379531894901298017e+00 1.300000000000000000e+02 1.210000000000000000e+02 6.300000000000000000e+01
5.270792188246560261e-01 -9.241479556277167884e-01 -7.767474048070946324e+00 5.600000000000000000e+01 4.000000000000000000e+01 4.100000000000000000e+01
-8.670783823259607948e-01 -1.090714556382492262e+00 -1.402391110698103516e+00 1.150000000000000000e+02 1.560000000000000000e+02 9.700000000000000000e+01
5.154561501475883600e-02 -2.538042929706668671e-02 -3.847846801064838562e+00 1.620000000000000000e+02 1.280000000000000000e+02 3.700000000000000000e+01
-6.990649757076524695e-01 -3.730277380631188411e-01 -1.793240630084629306e+00 1.250000000000000000e+02 1.550000000000000000e+02 1.100000000000000000e+02
2.069876944462349933e-01 -8.389295946235570955e-01 -5.325890998498145734e+00 9.700000000000000000e+01 8.000000000000000000e+01 4.800000000000000000e+01
-2.804935698931028676e-01 -1.810781080600232795e-01 -7.479140660218106973e+00 4.300000000000000000e+01 2.300000000000000000e+01 1.300000000000000000e+01
9.553641765404765618e-01 -4.238601623257770012e-01 -4.639428066927187011e+00 8.100000000000000000e+01 6.200000000000000000e+01 4.600000000000000000e+01
2.406936501222660119e-01 -1.301707810780045271e+00 -2.909629571077563703e+00 1.070000000000000000e+02 1.260000000000000000e+02 8.700000000000000000e+01
-4.131139473116761662e-01 -3.771022905353293431e-01 -8.140478788627101281e+00 1.440000000000000000e+02 1.180000000000000000e+02 7.700000000000000000e+01
5.617003037346851579e-01 -8.017830189196153423e-01 -4.027728636708408416e+00 2.600000000000000000e+01 3.000000000000000000e+01 8.000000000000000000e+00
6.127525712981825023e-01 -3.918361874854276450e-01 -3.034134053238345619e+00 1.220000000000000000e+02 1.080000000000000000e+02 6.300000000000000000e+01
1.032233986855086716e+00 -3.340253332365845096e-01 -4.033398272676466334e+00 4.100000000000000000e+01 3.200000000000000000e+01 2.300000000000000000e+01
1.487934143965499723e-01 -7.087836202969457489e-01 -7.183987332191063224e+00 6.300000000000000000e+01 3.800000000000000000e+01 1.800000000000000000e+01
4.539516764906076918e-01 -2.084567312331667477e+00 -3.063231179861377385e+00 1.150000000000000000e+02 1.400000000000000000e+02 9.100000000000000000e+01
8.411074692545114084e-01 -7.753366364122251664e-01 -5.321182486778013754e+00 1.070000000000000000e+02 8.600000000000000000e+01 6.700000000000000000e+01
2.456526684858557352e-01 -1.529855543548348518e-01 -3.393036256141069629e+00 1.770000000000000000e+02 1.450000000000000000e+02 4.000000000000000000e+01
-1.089219289571883159e-01 -5.433826286160052810e-01 -4.523722007433677916e+00 9.600000000000000000e+01 8.900000000000000000e+01 4.000000000000000000e+01
1.045060966980641659e+00 -2.283932539382236560e-01 -3.483254511031103728e+00 1.900000000000000000e+01 6.000000000000000000e+00 0.000000000000000000e+00
9.452034330235996318e-02 -2.012669171689839553e-01 -8.494092235018598558e+00 4.700000000000000000e+01 3.000000000000000000e+01 1.100000000000000000e+01
2.662811373928736236e-01 -9.136266497988563273e-01 -6.128249142717213438e+00 9.600000000000000000e+01 8.100000000000000000e+01 6.700000000000000000e+01
2.623803796003316147e-01 -9.298533744300373494e-01 -6.618762057432645562e+00 9.700000000000000000e+01 7.800000000000000000e+01 6.700000000000000000e+01
4.634709289420146927e-01 -8.861629358499456544e-01 -8.887551596194859016e+00 4.300000000000000000e+01 2.200000000000000000e+01 2.000000000000000000e+01
2.620327366337522057e-01 -5.876916679690876721e-01 -6.254141623596680688e+00 1.260000000000000000e+02 9.500000000000000000e+01 4.800000000000000000e+01
1.036408382816156881e-01 7.717912410291595526e-02 -3.076086276985540380e+00 1.750000000000000000e+02 1.480000000000000000e+02 4.300000000000000000e+01
