x y z r g b
0.147377 -1.319484 -2.451092 155 178 119
0.072830 -1.232582 1.121359 116 159 92
-1.117851 1.042137 1.092821 119 155 103
-0.649442 -1.833219 1.600799 163 188 49
-0.355170 -1.838646 1.499856 139 168 101
1.216474 -4.374088 -0.036904 132 161 113
0.626372 -2.764029 6.176651 129 170 46
2.370339 -5.324229 8.403166 141 179 58
-0.749432 0.959592 1.015154 127 162 103
2.631056 -5.428330 0.719120 134 169 104
0.583924 -0.762873 -1.902303 196 170 84
0.762476 -3.231183 -0.902557 119 160 90
-0.051483 -0.424112 4.226665 121 174 45
1.355637 -3.489248 0.053796 132 163 88
3.502393 -5.841843 0.094242 160 188 125
-0.576786 -1.281145 1.632758 153 184 73
-1.394600 1.149584 1.395714 120 155 91
-0.158189 -1.312774 2.827133 122 168 84
-0.961310 -1.334263 2.403828 145 173 52
0.085911 -0.994351 -0.505500 115 160 99
0.174100 -0.515267 2.315215 148 188 29
-0.479488 1.678531 5.489812 151 189 62
-1.107018 0.777573 4.705855 146 186 54
0.639118 -1.044141 3.282388 151 191 89
2.674271 -5.592558 0.645467 144 172 110
-0.455746 -1.981941 2.867442 117 164 77
3.022225 -5.445797 0.756382 152 182 119
2.253031 -5.828715 -0.030886 130 161 135
1.811116 -4.497765 0.287026 132 170 108
-2.222811 1.214664 6.620560 144 167 48
2.661408 -5.699790 0.473850 147 170 114
0.176738 -0.562288 3.123642 114 166 53
-0.449049 -0.386729 3.177000 129 171 37
1.671660 -4.678580 8.483457 173 182 153
2.989123 -5.042568 0.473634 115 163 110
1.465326 -4.266292 0.098527 121 160 97
3.200278 -5.077383 0.511631 111 158 112
-0.630907 2.094928 6.204547 117 171 75
0.333279 -1.859858 1.507507 122 155 49
1.108981 -4.205900 -0.356584 141 165 121
1.177513 -2.917214 -0.953496 121 163 94
2.854834 -5.232938 1.019495 143 175 111
-1.973327 2.312915 7.053849 131 173 69
0.558367 -2.587830 5.546503 127 169 35
1.200518 -3.693175 -0.160482 128 171 98
2.169506 -5.653660 0.032569 133 164 136
3.454661 -6.114499 0.473081 149 177 113
3.410587 -5.603951 0.601043 142 178 118
3.639687 -6.065509 0.287671 168 190 121
3.386590 -5.462596 0.601636 142 180 111
0.617124 -3.228502 -1.121628 123 155 93
1.719206 -4.624687 0.207852 135 169 103
-0.325827 -0.902454 0.839277 122 163 58
-0.840484 0.246486 4.473227 128 170 52
-0.477786 -1.202346 1.040065 146 179 54
2.609827 -5.087407 0.884403 138 175 108
-0.224586 -1.864755 3.200405 117 164 73
1.804003 -4.675792 0.274573 134 169 105
-0.101398 -0.344820 2.010341 142 181 60
1.268319 -3.475116 -0.020487 129 166 87
0.250845 -4.986509 8.088787 133 171 91
-0.402085 -1.261257 0.814077 147 180 52
-2.241194 3.286458 7.517110 123 164 79
0.854249 -3.620857 7.434274 129 170 44
-0.974307 0.596341 4.430117 151 189 62
1.550530 -4.476629 0.108618 133 167 107
1.476094 -4.488908 0.023254 138 169 114
-0.833183 -0.824809 -0.385269 130 162 112
-0.352813 -1.839981 2.611309 125 177 43
-1.663123 3.468275 7.886948 162 179 129
1.405323 -4.047345 0.106577 123 165 97
0.441068 -3.227171 6.648120 123 162 51
-0.790869 0.853421 4.677124 140 180 39
-2.373195 3.136357 7.313850 135 163 98
1.622394 -4.063146 0.263537 137 176 105
1.094453 -3.318498 6.018548 141 180 56
0.829214 -5.449127 8.008618 132 169 98
-2.135512 2.907288 6.932179 118 169 87
0.832931 -2.849571 -0.771381 128 165 85
0.010544 -2.266987 3.545436 136 166 102
0.858882 -3.477479 -0.621974 118 157 88
1.298252 -3.857824 -0.029233 126 167 100
-0.875729 -0.806379 -0.197573 119 156 104
0.110180 -4.089026 6.973063 127 167 77
-0.785715 1.921636 6.578131 143 169 95
-0.844098 -0.654318 1.250630 123 167 106
-0.352490 0.872896 4.648444 140 182 35
0.853965 -4.983515 8.676581 125 167 103
1.313149 -3.288227 -0.732321 124 163 102
